link,title,rating,subject
https://movie.douban.com/subject/4848115/	,你看起来好像很好吃	,8.9	,感情不分食草或者食肉。
https://movie.douban.com/subject/5300054/	,波西米亚狂想曲	,8.6	,
https://movie.douban.com/subject/2209573/	,贫民窟的百万富翁	,8.6	,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
https://movie.douban.com/subject/1293908/	,城市之光	,9.3	,
https://movie.douban.com/subject/1293323/	,大红灯笼高高挂	,8.8	,
https://movie.douban.com/subject/25773932/	,爆裂鼓手	,8.6	,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
https://movie.douban.com/subject/2051007/	,哈利·波特与死亡圣器(上)	,8.6	,最忠于原著的一部。
https://movie.douban.com/subject/1438652/	,无耻混蛋	,8.7	,昆汀同学越来越变态了，比北野武还杜琪峰。
https://movie.douban.com/subject/1291844/	,终结者2：审判日	,8.8	,
https://movie.douban.com/subject/1303394/	,青蛇	,8.6	,
https://movie.douban.com/subject/1292328/	,东邪西毒	,8.6	,
https://movie.douban.com/subject/1978709/	,黑天鹅	,8.6	,黑暗之美。
https://movie.douban.com/subject/1292287/	,新龙门客栈	,8.7	,
https://movie.douban.com/subject/4739952/	,初恋这件小事	,8.5	,黑小鸭速效美白记。
https://movie.douban.com/subject/1300117/	,千钧一发	,8.8	,
https://movie.douban.com/subject/1302827/	,人工智能	,8.7	,
https://movie.douban.com/subject/1793929/	,达拉斯买家俱乐部	,8.8	,Jared Leto的腿比女人还美！
https://movie.douban.com/subject/1907966/	,疯狂原始人	,8.7	,老少皆宜，这就是好莱坞动画的魅力。
https://movie.douban.com/subject/1300374/	,绿里奇迹	,8.9	,
https://movie.douban.com/subject/10808442/	,爱在午夜降临前	,8.8	,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
https://movie.douban.com/subject/1862151/	,疯狂的石头	,8.6	,中国版《两杆大烟枪》。
https://movie.douban.com/subject/1293460/	,雨中曲	,9.1	,
https://movie.douban.com/subject/1292226/	,2001太空漫游	,8.9	,
https://movie.douban.com/subject/25895901/	,海街日记	,8.8	,是枝裕和的家庭习作。
https://movie.douban.com/subject/1292208/	,上帝之城	,9.0	,
https://movie.douban.com/subject/25917973/	,心迷宫	,8.7	,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
https://movie.douban.com/subject/1291585/	,风之谷	,8.9	,
https://movie.douban.com/subject/1304447/	,记忆碎片	,8.7	,
https://movie.douban.com/subject/1297574/	,英雄本色	,8.6	,
https://movie.douban.com/subject/1295409/	,纵横四海	,8.8	,
https://movie.douban.com/subject/3011051/	,恐怖游轮	,8.5	,不要企图在重复中寻找已经失去的爱。
https://movie.douban.com/subject/6534248/	,无敌破坏王	,8.7	,迪士尼和皮克斯拿错剧本的产物。
https://movie.douban.com/subject/1297880/	,芙蓉镇	,9.3	,
https://movie.douban.com/subject/1291822/	,卢旺达饭店	,8.9	,当这个世界闭上双眼，他却敞开了怀抱。
https://movie.douban.com/subject/1307811/	,魔女宅急便	,8.7	,
https://movie.douban.com/subject/1292329/	,牯岭街少年杀人事件	,8.9	,
https://movie.douban.com/subject/27622447/	,小偷家族	,8.7	,我们组成了家。
https://movie.douban.com/subject/1310177/	,东京教父	,9.0	,
https://movie.douban.com/subject/1291578/	,冰川时代	,8.7	,
https://movie.douban.com/subject/1959195/	,忠犬八公物语	,9.2	,
https://movie.douban.com/subject/3792799/	,岁月神偷	,8.7	,岁月流逝，来日可追。
https://movie.douban.com/subject/5989818/	,萤火之森	,8.8	,触不到的恋人。
https://movie.douban.com/subject/4268598/	,告白	,8.8	,没有一人完全善，也没有一人完全恶。
https://movie.douban.com/subject/1295399/	,七武士	,9.3	,
https://movie.douban.com/subject/4920389/	,头号玩家	,8.6	,写给影迷，动漫迷和游戏迷的一封情书。
https://movie.douban.com/subject/3072124/	,玛丽和麦克斯	,9.0	,你是我最好的朋友，你是我唯一的朋友 。
https://movie.douban.com/subject/35426925/	,机器人之梦	,9.1	,
https://movie.douban.com/subject/10463953/	,模仿游戏	,8.8	,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
https://movie.douban.com/subject/1293181/	,惊魂记	,9.0	,
https://movie.douban.com/subject/24733428/	,心灵奇旅	,8.7	,
https://movie.douban.com/subject/1291545/	,大鱼	,8.8	,
https://movie.douban.com/subject/1307856/	,背靠背，脸对脸	,9.5	,
https://movie.douban.com/subject/26683290/	,你的名字。	,8.5	,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
https://movie.douban.com/subject/26325320/	,血战钢锯岭	,8.7	,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
https://movie.douban.com/subject/1316510/	,射雕英雄传之东成西就	,8.7	,
https://movie.douban.com/subject/1291992/	,末路狂花	,9.0	,
https://movie.douban.com/subject/1306861/	,我是山姆	,9.0	,
https://movie.douban.com/subject/4917726/	,阳光姐妹淘	,8.8	,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
https://movie.douban.com/subject/1422283/	,高山下的花环	,9.5	,
https://movie.douban.com/subject/21360417/	,恐怖直播	,8.7	,恐怖分子的“秋菊打官司”。
https://movie.douban.com/subject/1302467/	,黑客帝国3：矩阵革命	,8.8	,
https://movie.douban.com/subject/27119724/	,小丑	,8.7	,
https://movie.douban.com/subject/1578507/	,谍影重重3	,8.9	,像吃了苏打饼一样干脆的电影。
https://movie.douban.com/subject/26611804/	,三块广告牌	,8.7	,怼天怼地，你走后，她与世界为敌。
https://movie.douban.com/subject/1307106/	,无间道2	,8.8	,
https://movie.douban.com/subject/1417598/	,电锯惊魂	,8.7	,真相就在眼前。
https://movie.douban.com/subject/1418200/	,傲慢与偏见	,8.7	,爱是摈弃傲慢与偏见之后的曙光。
https://movie.douban.com/subject/2353023/	,驯龙高手	,8.8	,和谐的生活离不开摸头与被摸头。
https://movie.douban.com/subject/21318488/	,消失的爱人	,8.7	,年度最佳date movie。
https://movie.douban.com/subject/1292337/	,无人知晓	,9.1	,我的平常生活就是他人的幸福。
https://movie.douban.com/subject/1297447/	,倩女幽魂	,8.8	,
https://movie.douban.com/subject/10437779/	,新世界	,8.9	,要做就做得狠一点，这样才能活下去。
https://movie.douban.com/subject/1291557/	,花样年华	,8.8	,
https://movie.douban.com/subject/26628357/	,一个叫欧维的男人决定去死	,8.9	,惠及一生的美丽。
https://movie.douban.com/subject/1828115/	,色，戒	,8.7	,假戏真情，爱欲深海
https://movie.douban.com/subject/1300992/	,完美的世界	,9.1	,
https://movie.douban.com/subject/1291579/	,怪兽电力公司	,8.8	,
https://movie.douban.com/subject/1294240/	,教父3	,9.0	,
https://movie.douban.com/subject/25814705/	,小森林 夏秋篇	,9.0	,那些静得只能听见呼吸的日子里，你明白孤独即生活。
https://movie.douban.com/subject/1292215/	,天使爱美丽	,8.7	,
https://movie.douban.com/subject/1291875/	,阳光灿烂的日子	,8.8	,
https://movie.douban.com/subject/1297518/	,九品芝麻官	,8.8	,
https://movie.douban.com/subject/1307315/	,哪吒闹海	,9.2	,
https://movie.douban.com/subject/1297052/	,侧耳倾听	,8.9	,
https://movie.douban.com/subject/6307447/	,被解救的姜戈	,8.8	,热血沸腾，那个低俗、性感的无耻混蛋又来了。
https://movie.douban.com/subject/1292274/	,幸福终点站	,8.8	,有时候幸福需要等一等。 
https://movie.douban.com/subject/26799731/	,请以你的名字呼唤我	,8.8	,沉醉在电影的情感和视听氛围中无法自拔。
https://movie.douban.com/subject/25986180/	,釜山行	,8.6	,揭露人性的丧尸题材力作。
https://movie.douban.com/subject/3287562/	,神偷奶爸	,8.7	,Mr. I Don't Care其实也有Care的时候。
https://movie.douban.com/subject/25814707/	,小森林 冬春篇	,9.0	,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
https://movie.douban.com/subject/1303037/	,喜宴	,9.0	,
https://movie.douban.com/subject/6985810/	,狩猎	,9.1	,人言可畏。
https://movie.douban.com/subject/1297359/	,幽灵公主	,8.9	,
https://movie.douban.com/subject/27010768/	,寄生虫	,8.8	,
https://movie.douban.com/subject/1305164/	,甜蜜蜜	,8.9	,
https://movie.douban.com/subject/1428581/	,天书奇谭	,9.2	,
